GSPAR_IDS,ALTAR_ID,REPORT_YEAR,BASIN_NAME,SUBBASIN_NUMBER,SINGLE_MULTIPLE_AR,ANNUAL_REPORT_AREA,METHOD_USED,TOTAL_WATER_USE,WST_EXPLANATION,WST_GROUNDWATER,WST_OTHER,WST_RECYCLED_WATER,WST_REUSED_WATER,WST_SURFACE_WATER,WUS_AGRICULTURAL,WUS_EXPLANATION,WUS_INDUSTRIAL,WUS_MANAGED_RECHARGE,WUS_MANAGED_WETLANDS,WUS_NATIVE_VEGETATION,WUS_OTHER,WUS_URBAN
309,,2023,MERCED,5-022.04,Single Annual Report,Entire Basin,"Total water use is a simple sum (by sector) of the groundwater use and total surface water available for use. Groundwater use was calculated by a mixture of direct measurements, estimates from the MercedWRM, and estimates from Merced National Wildlife Refuge staff. Surface water diversions were measured directly.",1271850,,706717,0,0,0,565134,1219947,,0,0,7060,0,0,44843
297,,2023,MODESTO,5-022.02,Single Annual Report,Entire Basin,"Groundwater volume was obtained by measurements provided by Agencies or Cities, and by estimates using the Groundwater model C2VSimTM. Surface water supply was obtained by measurements of Agencies, water rights (eWRIMS) data in conjunction with demands simulated by the C2VSimTM model.",570900,,300300,0,0,0,270600,497700,,0,0,0,0,0,73200
372,,2023,PLEASANT VALLEY,5-022.10,Single Annual Report,Entire Basin,Flow Meters and Urban Estimate based on Per Person use.,44578,,32000,0,0,0,7400,32000,,0,0,0,0,0,200
318,,2023,TRACY,5-022.15,Single Annual Report,Entire Basin,"Metered, Estimated",140400,Remediation,2900,2000,500,0,137000,113400,Remediation,1200,5800,0,0,2000,29600
381,,2023,TULARE LAKE,5-022.12,Single Annual Report,Entire Basin,"Sum of surface water deliveries, groundwater extraction, and effective precipitation.",1740472,,213863,0,0,0,1239237,1444930,Rural Domestic,0,265170,0,0,8030,22342
"365,373,374,377,378,379",,2023,TULE,5-022.13,Multiple Annual Reports,Entire Basin,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,2030960,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,396810,457800,6250,1200,1622030,1309000,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,698330,0,0,4800,18930
302,,2023,TURLOCK,5-022.03,Single Annual Report,Entire Basin,"Groundwater volume was obtained by measurements provided by local agencies and by estimates using the groundwater model C2VSimTM. 
Surface water supply was obtained by measurements provided by local agencies and water rights (eWRIMS) data in conjunction with demands simulated by the C2VSimTM model.
Recycled water supply was obtained by measurements provided by local agencies and Hilmar Cheese Company.",774800,,363900,0,4300,0,406600,739600,,0,0,0,0,0,35200
353,,2023,WESTSIDE,5-022.09,Single Annual Report,Entire Basin,Groundwater extraction from metered wells and monthly surface water delivery records from USBR,797000,,65000,0,0,0,732000,792000,Small water systems (4091 AF) and Domestic wells (82 AF),0,161930,191,0,4173,921
351,,2023,WHITE WOLF,5-022.18,Single Annual Report,Entire Basin,"Total water use is equal to the sum of total estimated groundwater extraction, the total surface water supplies, and total applied recycled water.",134751,,24200,0,122,0,110429,105117,,3046,23024,0,1600,0,1964
384,,2024,CHOWCHILLA,5-022.05,Single Annual Report,Entire Basin,Sum of groundwater and surface water reported in Sections A-C (Sections 3-4 of the Annual Report). It is noted that this is a refinement of the approach in prior Annual Reports.,458400,,256000,0,0,0,202400,392900,,0,60000,0,0,0,5500
409,,2024,COSUMNES,5-022.16,Single Annual Report,Entire Basin,"All water source types represented by a combination of metered, reported and estimated uses.",142700,,120200,0,1400,0,21100,0,,0,0,0,0,0,0
456,,2024,DELTA-MENDOTA,5-022.07,Single Annual Report,Entire Basin,"Sum of self-reported volumes from each GSA within the Delta-Mendota Subbaisn across seven Subbasin GSA Group regions; Reflects water lost through canal leakage, pipe leakage, and other percolating waters",1452300,,270200,0,14800,6600,1160700,1127700,,2800,5700,298900,0,0,17200
464,,2024,EAST CONTRA COSTA,5-022.19,Single Annual Report,Entire Basin,East Contra Costa Groundwater-Surface Water Simulation Model (ECCSim) developed for the ECC GSP was used to estimate the Basin's water budget. Groundwater demand for agriculture was estimated based on crop water demand that is not met with reported surface water diversions and metered groundwater. City and Irrigation district groundwater wells were metered. Considered reported domestic wells and PWS in the Subbasin and estimated a pumping amount from report values in SWRCB and and annual use per well. Monthly self reported surface water diversions. ,205905,,25401,0,1693,0,180504,179250,,0,0,0,0,0,31638
